variant,algo,test_wave,score,roc_auc,pr_auc,brier,thr@R>=0.98,precision@R,recall@thr,FP_per_1000
rose,XGB,synthetic_transactions_structured_500_2,platt,0.6951848025979575,0.25484510296541163,0.9525969368825001,0.04218005054473537,0.04623762376237624,1.0,953.7623762376237
rose,RF,synthetic_transactions_structured_500_2,raw,0.47888748326983593,0.0434330217517125,0.9521480017161716,0.08666666666666667,0.04623762376237624,1.0,953.7623762376237
rose,RF,synthetic_transactions_structured_500_2,platt,0.477150724968218,0.04358220874721456,0.9515710051889573,0.04142910821429248,0.04623762376237624,1.0,953.7623762376237
rose,GBM,synthetic_transactions_structured_500_3,raw,0.6658137530806939,0.28819983321975384,0.9203719055049084,0.06284403920747325,0.056831683168316834,1.0,943.1683168316831
rose,GBM,synthetic_transactions_structured_500_3,platt,0.6658137530806939,0.28819983321975384,0.9413055551647157,0.03350610076788874,0.056831683168316834,1.0,943.1683168316831
rose,XGB,synthetic_transactions_structured_500_3,raw,0.6218095752611046,0.16394492479684894,0.9424845611626568,0.07758697122335434,0.056831683168316834,1.0,943.1683168316831
rose,XGB,synthetic_transactions_structured_500_3,platt,0.6218095752611046,0.16394492479684894,0.9421522812070232,0.03964251419603937,0.056831683168316834,1.0,943.1683168316831
rose,RF,synthetic_transactions_structured_500_3,raw,0.5876002482843581,0.11074585453040692,0.9377408206820681,0.09333333333333334,0.056831683168316834,1.0,943.1683168316831
rose,RF,synthetic_transactions_structured_500_3,platt,0.5876696530529686,0.10743901642742451,0.940983614339899,0.04266595808475383,0.056831683168316834,1.0,943.1683168316831
rose,GBM,synthetic_transactions_structured_500_4,raw,0.6301756703918622,0.24822910955818434,0.9054114317592139,0.0498888338685116,0.05079207920792079,1.0,949.2079207920791
rose,GBM,synthetic_transactions_structured_500_4,platt,0.6301756703918622,0.24822910955818434,0.94616052423012,0.03110658424231596,0.05079207920792079,1.0,949.2079207920791
rose,XGB,synthetic_transactions_structured_500_4,raw,0.6231158747093153,0.2327646262300623,0.9463310962459103,0.06133158132433891,0.05079207920792079,1.0,949.2079207920791
rose,XGB,synthetic_transactions_structured_500_4,platt,0.6231158747093153,0.2327646262300623,0.9477875489593743,0.03543999449656666,0.05079207920792079,1.0,949.2079207920791
rose,RF,synthetic_transactions_structured_500_4,raw,0.4963598976928431,0.059456844014419155,0.9428846875247523,0.07666666666666666,0.05079207920792079,1.0,949.2079207920791
rose,RF,synthetic_transactions_structured_500_4,platt,0.49516828648931877,0.05870885867642418,0.9465351382805918,0.037873071050069124,0.05079207920792079,1.0,949.2079207920791
rose,GBM,synthetic_transactions_structured_500_5,raw,0.6443414798245016,0.2783897979244294,0.941163928793487,0.04724997487632063,0.0401980198019802,1.0,959.8019801980198
rose,GBM,synthetic_transactions_structured_500_5,platt,0.6443414798245016,0.2783897979244294,0.9574344241355809,0.029917178887080273,0.0401980198019802,1.0,959.8019801980198
rose,XGB,synthetic_transactions_structured_500_5,raw,0.6720190793960207,0.28289572093597737,0.958591822559522,0.0566968098282814,0.0401980198019802,1.0,959.8019801980198
rose,XGB,synthetic_transactions_structured_500_5,platt,0.6720190793960207,0.28289572093597737,0.9580983558480967,0.03366210005600478,0.0401980198019802,1.0,959.8019801980198
rose,RF,synthetic_transactions_structured_500_5,raw,0.4647468699850905,0.037156824547187675,0.9569750833883388,0.08,0.0401980198019802,1.0,959.8019801980198
rose,RF,synthetic_transactions_structured_500_5,platt,0.4653504376786819,0.03718730775041966,0.9573402197357831,0.03890262286083815,0.0401980198019802,1.0,959.8019801980198
