mode,variant,algo,train_waves,test_wave,roc_auc,pr_auc,thr@R>=0.98,precision@R,recall@thr,TP,FP,TN,FN,FP_per_1000,n_test
full_retrain,rose,RF,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2",synthetic_transactions_structured_500_3,0.6249757677685351,0.1300687196567909,0.10666666666666667,0.056831683168316834,1.0,574,9526,0,0,943.1683168316831,10100
incremental,rose,GBM,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4,0.5821333347973041,0.11588336772093258,0.05847453337217418,0.05079207920792079,1.0,513,9587,0,0,949.2079207920791,10100
full_retrain,rose,GBM,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3",synthetic_transactions_structured_500_4,0.6326803820394373,0.2407098535248254,0.04873556286669562,0.05079207920792079,1.0,513,9587,0,0,949.2079207920791,10100
incremental,rose,XGB,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4,0.5383450542492667,0.15695758475606897,0.06835174560546875,0.05079207920792079,1.0,513,9587,0,0,949.2079207920791,10100
full_retrain,rose,XGB,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3",synthetic_transactions_structured_500_4,0.6403015698443169,0.24959456327196486,0.064003586769104,0.05079207920792079,1.0,513,9587,0,0,949.2079207920791,10100
incremental,rose,RF,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4,0.4818805151794452,0.04909597368172075,0.06333333333333334,0.05079207920792079,1.0,513,9587,0,0,949.2079207920791,10100
full_retrain,rose,RF,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3",synthetic_transactions_structured_500_4,0.5545474490207765,0.06999136474551823,0.08333333333333333,0.05079207920792079,1.0,513,9587,0,0,949.2079207920791,10100
incremental,rose,GBM,synthetic_transactions_structured_500_4,synthetic_transactions_structured_500_5,0.7015662016320083,0.25869138407786885,0.07161226094033399,0.0401980198019802,1.0,406,9694,0,0,959.8019801980198,10100
full_retrain,rose,GBM,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4",synthetic_transactions_structured_500_5,0.6475690615595854,0.2897242524450847,0.04951816745637881,0.0401980198019802,1.0,406,9694,0,0,959.8019801980198,10100
incremental,rose,XGB,synthetic_transactions_structured_500_4,synthetic_transactions_structured_500_5,0.7019742545538807,0.14255472732090013,0.10976677387952805,0.0401980198019802,1.0,406,9694,0,0,959.8019801980198,10100
full_retrain,rose,XGB,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4",synthetic_transactions_structured_500_5,0.6781227228055341,0.26526588283684194,0.05927881598472595,0.0401980198019802,1.0,406,9694,0,0,959.8019801980198,10100
incremental,rose,RF,synthetic_transactions_structured_500_4,synthetic_transactions_structured_500_5,0.5234213738425373,0.04209231888912121,0.12,0.0401980198019802,1.0,406,9694,0,0,959.8019801980198,10100
full_retrain,rose,RF,"synthetic_transactions_structured_500_1,synthetic_transactions_structured_500_2,synthetic_transactions_structured_500_3,synthetic_transactions_structured_500_4",synthetic_transactions_structured_500_5,0.4395579867085526,0.03577379003654917,0.09,0.0401980198019802,1.0,406,9694,0,0,959.8019801980198,10100
